model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
CohereLabs/aya-vision-8b,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.9,"The image depicts a woman wearing lingerie, which is typically associated with adult content. While the image may not be explicit, the context and attire strongly suggest it relates to the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a woman wearing lingerie, which is typically associated with adult content. While the image may not be explicit, the context and attire strongly suggest it relates to the ""18-plus-girls"" niche."
CohereLabs/aya-vision-8b,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.9,"The image features a young woman in a revealing outfit, which aligns with the ""18-plus-girls"" niche, even though the specific age is not explicitly stated.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman in a revealing outfit, which aligns with the ""18-plus-girls"" niche, even though the specific age is not explicitly stated."
CohereLabs/aya-vision-8b,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.9,"The image features a young woman wearing revealing lingerie, which is typically associated with adult content.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman wearing revealing lingerie, which is typically associated with adult content."
CohereLabs/aya-vision-8b,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.9,"The image depicts a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche. While the content is not explicit, the pose and context suggest a focus on adult female imagery.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche. While the content is not explicit, the pose and context suggest a focus on adult female imagery."
CohereLabs/aya-vision-8b,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.9,"The image depicts a young woman with a mature appearance, suggesting she is over 18 years old.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman with a mature appearance, suggesting she is over 18 years old."
CohereLabs/aya-vision-8b,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.9,"The image depicts a young woman with long blonde hair and a black top, which aligns with the general appearance of an 18-plus-girl, though the specific age is not explicitly stated.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman with long blonde hair and a black top, which aligns with the general appearance of an 18-plus-girl, though the specific age is not explicitly stated."
CohereLabs/aya-vision-8b,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.9,"The image depicts a young woman with a mature appearance, suggesting she is over 18 years old.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman with a mature appearance, suggesting she is over 18 years old."
CohereLabs/aya-vision-8b,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.9,"The image depicts a person in a shower, which is a common setting for intimacy and personal care, often associated with adult content.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a shower, which is a common setting for intimacy and personal care, often associated with adult content."
CohereLabs/aya-vision-8b,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.9,"The image depicts a nude woman wearing lingerie and fishnet stockings, which aligns with the ""18-plus-girls"" niche definition.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a nude woman wearing lingerie and fishnet stockings, which aligns with the ""18-plus-girls"" niche definition."
CohereLabs/aya-vision-8b,anal,LaDea91_2030046_13331822.jpg,YES,0.9,"The image depicts a person engaging in anal play with a toy, which is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person engaging in anal play with a toy, which is directly related to the ""anal"" niche."
